Program: Program Name,Partner Status,Program Description,Program Duration,Service Type,Where does your program take place?,Primary Service Area,Billing Street,Billing City,Billing State/Province,Billing Zip/Postal Code,Account Name
Youth Political Engagement Program,Active,"Engage youth in the voting process. Would like to work through Coach to do push ins. They will be doing train the trainer this year and have check ins throughout the year.

Whole period, all period for Monday, once a week.

Would like to help with voter registration drive.
How long will the training happen for Coach?",,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,Community Development,"4828 Loop Central Drive, Suite 1000",Houston,,77081,Empower 360 Houston
Enedsys - 2016-2017,Active,,,,,"Education and vocational (Vocational training, employment services, college and career readiness)",,,,,Enedsys
HD Mentoring,Active,Relational mentoring program focused on helping student's deal with current day issues.,70-90 minutes (Block Schedule),Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Cultural and spiritual (Art access, Cultural awareness and enrichment)","10750 Hammerly Blvd, Suite 263",Houston,,77043,"Eyes On Me, Inc."
Individual Counseling,Active,Provide Individual Counseling for students,Either/Flexible,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",4625 Lillian,Houston,,77007,Family Houston
Employment Services,Active,"Our employment coaches offer one-on-one guidance in career exploration and developing career goals. We help individuals connect with relevant training and education programs, identify job opportunities, create resumes, prepare for interviews, and familiarize themselves with professional workplace skills.",Other (Please specify in Description),Referral out - Deliver services off-site,Off School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",4625 Lillian,Houston,,77007,Family Houston
Mentoring Program,Active,"Project Managers are assigned to individual school sites in the northeast quadrant of the Houston Independent School District (HISD). These project managers are responsible for the coordination of daily FWEP activities and the delivery of services to youth participants. The project manager is recognized by the school's youth as their ""mentor on campus"".",Either/Flexible,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","4014 Market Street, Suite W145",Houston,TX,77020,Fifthward Enrichment
Tutorials,Active,"Boys with identified academic problems have the opportunity to receive assistance with homework or to study for examinations. Academic competitions are held involving spelling skills and knowledge of historical events and the community. Outside tutoring resources (fraternities, corporations, and adult volunteers) are constantly pursued and coordinated for those students with extreme academic problems.",,,,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","4014 Market Street, Suite W145",Houston,TX,77020,Fifthward Enrichment
Life Skills Program,Active,"During life-skills workshops, boys receive instruction in areas of drug awareness, violence prevention, personal health and hygiene, decision-making, human sexuality, interpersonal relations, and communication skills.",,,,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","4014 Market Street, Suite W145",Houston,TX,77020,Fifthward Enrichment
Entrepreneurial Skills,Active,"Teenagers are given the opportunity to engage in five various business ventures: a T-Shirt silk-screening enterprise, a computer repair/resale enterprise, a film-making enterprise, a photography enterprise, a mural/neighborhood art project.",,,,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","4014 Market Street, Suite W145",Houston,TX,77020,Fifthward Enrichment
Teen Enterprise Center,Active,"Referral out to Fifth Ward Multiservice Center program

The Teen Enterprise Center is the culmination of a short, explosive period of expansion and growth by the Fifth Ward Enrichment Program and its youth-run businesses. As early as spring 1995, the T-shirt printing shop, then named TKO Enterprize, was the only teen operated business in FWEP. However, by the summer of 1999, the FWEP teen enterprise portfolio included computer repair/refurbishing, the filmmakers project, a bicycle repair shop, and the mural/neighborhood art project. Shifting gears, TEC is now centrally located at the Fifth Ward Multi-Service Center alongside of our administrative offices, where many of the components have been upgraded to fit our participants of the future, with our primary components; Graphics Design, Photography, Music Appreciation, Financial Literacy and Robotics. Reading Enrichment and College Bound Preparation have been added as educational enhancements.",Other (Please specify in Description),Referral out - Deliver services off-site,Off School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","4014 Market Street, Suite W145",Houston,TX,77020,Fifthward Enrichment
Community Service Projects,Active,"Special community service activities are developed at all sites during the school year. Youth volunteers assist in community health fairs, neighborhood clean-up projects, smoke detector installation at senior citizens' homes, stocking shelves at area food pantries, and coordinating voter registration drives. During the summer project, the boys perform community service projects in the morning, attend life-skills seminars in the afternoon, and participate in supervised team-building activities.",,,,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","4014 Market Street, Suite W145",Houston,TX,77020,Fifthward Enrichment
Empathy Coaching,Active,"Only for 6th grade teachers and 9th grade teachers. Following the Empathy Training, teachers will be given 200 hours of on-site coaching for Key Middle School and Kashmere High School (100 each). This includes teacher training, observations and feedback with the goal of improving educator empathy and relationship skills.",,,,Teacher Support & Professional Development,"3000 Richmond Ave, Suite 340",Houston,TX,77098,FuelEd Schools
FuelEd Empathy Training,Active,"Train the Trainer Model
This is for 80 participants for the year. 40 at Kashmere, 40 at Key.
Our workshops employ an interactive format that utilizes hands-on activities, skills training, and discussion to take educators on an engaging and enlightening tour of the science, skills and self-awareness of relationships. Because the best learning happens through discovery, we utilize insight-oriented activities that allow each educator to increase their self-knowledge through experience and sharing.
This is a 3.5 hour training with the first 2.5 as empathy training and 1 hour as the coaching orientation.
Focus will be on 6th and 9th grade teachers.",,,,Teacher Support & Professional Development,"3000 Richmond Ave, Suite 340",Houston,TX,77098,FuelEd Schools
One on One Counseling,Active,"All participants engaged in coaching will receive unlimited one on one coaching sessions for the year.  This works to foster permanent change in attitudes, beliefs and behaviors ensuring that learning is integrated into long-term practice.",,,,Teacher Support & Professional Development,"3000 Richmond Ave, Suite 340",Houston,TX,77098,FuelEd Schools
Genesys Works,Active,"Our Mission is to provide pathways to career success for high school students in underserved communities through skills training, meaningful work experiences, and impactful relationships. We envision a future when all youth finish high school equipped and empowered with the knowledge and skills required to achieve.

Skills Training
8 weeks of training the summer before senior year of high school. Includes technical skills in information technology and business operations, and the professional skills required to succeed in today?s corporate workplace.

Meaningful Internships
A paid, year-long internship at partner companies. Working 20 hours per week, students further develop and refine high-demand work skills while providing valued services to corporate partners.

College and Career Coaching
Throughout the year, students receive more than 60 hours of guidance and counseling on appropriate college and career pathways. Includes college selection, applications, and financial aid assistance.

Alumni Support
Guidance navigating the complex world of post-secondary institutions and supporting students as they deal with the academic, social, and financial obstacles that might stand in the way of college and career success.",Other (Please specify in Description),Referral out - Deliver services off-site,Off School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)","601 Jefferson Ave., Suite 3950",Houston,TX,77002,Genesys Works
Girl Scouts of San Jacinto,Active,"We're 2.6 million strong?1.8 million girls and 800,000 adults who believe in the power of every G.I.R.L. (Go-getter, Innovator, Risk-taker, Leader)? to change the world.

Our extraordinary journey began more than 100 years ago with the original G.I.R.L., Juliette Gordon ?Daisy? Low. On March 12, 1912, in Savannah, Georgia, she organized the very first Girl Scout troop, and every year since, we?ve honored her vision and legacy, building girls of courage, confidence, and character who make the world a better place.

We?re the preeminent leadership development organization for girls. And with programs from coast to coast and across the globe, Girl Scouts offers every girl a chance to practice a lifetime of leadership, adventure, and success.",Either/Flexible,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,Community Development,3110 Southwest Freeway,Houston,,77098,Girl Scouts of San Jacinto
Power Circles,Active,"Utilizing an evidence based model, Power Circles are an in school or out of school time program for girls 4th-8th grade that surrounds them with positive, relatable role models.  Girls learn 21st century skills for the issues they face.",45-60 minutes (Period Schedule),Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",3000 S. IH 35 Suite 400,Austin,,78704,Girls Empowerment Network
Teen Leadership Circles,Active,"Teen Leadership Circles specialize in leadership training for young women in high school. Through regular training, research-based curricula, and a support system of dedicated and trained staff, young women will become Peer Leaders. Peer Leaders will be charged with building a stronger girl community within their schools and creating safe spaces for social, emotional, and educational growth for all students.",Either/Flexible,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
"Dollars, Sense, and Me",Active,"Dollars, Sense, and Me (for girls ages 9 to 11) further enhances girls? understanding of economic and financial concepts and introduces additional topics and skills, including exchanging goods and services, investing in the stock market, entrepreneurship, budgeting, writing checks and labor and management.
Equal Earners, Savvy Spenders (for girls ages 12 to 14) deepens girls knowledge about and appreciation for economic and financial topics covered by previous components. Additional skills and topics include loan options, investment risk vs. return, consumer tips, credit card use, labor laws, economic equity for women and girls, work-life balance, and global economics.",,,,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
Girls Take Another Look,Active,"Girls Take Another Look (for girls ages 12 to 14) gives girls critical practice in deconstructing obvious and hidden media messages and questioning the media?s focus on appearance and a narrow definition of beauty. Girls explore the variety of media available to them and go on to experiment with character development and storyboarding; consider the relevance of news media; and investigate the use of brand names, logos, and other marketing tools. In addition, girls explore careers in a variety of media fields and learn how to influence the media by communicating their opinions to those in power.",,,,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
Girls Make the Message,Active,"Girls Make the Message  (for girls ages 15 to 18) is the civic engagement component through which girls gain 21st century media skills by crafting their own messages into digital video public service announcements. Girls participate in public dialogue around issues important to them via community interviews, screenings, and discussions about their productions. In addition, girls explore the business side of media, learning about advertising and commercial interests, media and democracy, and career options.",,,,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
Action for Safety,Active,"Action for Safety (for girls ages 9 to 11) builds negotiation, assertiveness, and self-defense skills. It facilitates open and honest discussions to increase girls? understanding about interpersonal violence as well as encourage, support, and lessen the fear and isolation of girls experiencing violence.",,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
Living Safe & Strong,Active,"Living Safe & Strong (for girls ages 12 to 14) continues discussion of gender violence issues, reinforces and provides additional safety strategies and self-defense skills for teen girls, and introduces them to community experts and resources. Girls also develop and conduct community action projects addressing violence issues important to them.",,,,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
Taking Care of Business,Active,"Taking Care of Business (for girls ages 15 to 18): Ten interactive sessions focus on recognizing and moving beyond limiting sex-role stereotypes for women; using values as a basis for positive decision-making; building assertiveness, refusal, and relationship skills; avoiding risky behavior, pregnancy, STDs, and HIV through abstinence and other smart choices; learning the facts about contraception and protection; strengthening communication skills; and thinking about life goals.",,,,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
Media and Me,Active,"Media and Me (for girls ages 6 to 8) sets girls on a path of becoming critical media consumers and creators of media. In this component, girls celebrate positive roles for girls and women in media, investigate different types of media, consider fiction versus nonfiction media content, practice creating their own media messages, and discuss issues of concern such as violence and stereotypes in media.",,,,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
Girls Inc - 2016-2017,Active,,,,,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
Stand UP!,Active,"This program (ages 6-18)  is designed to teach girls to constructively resolve conflict, how to handle bullying of all kinds when it happens to them and how not to be a passive observer when it happens to those they know. Relational aggression - often referred to as ""Mean Girl"" behavior - is frequently rationalized as ""girls being girls"" or overshadowed by more overt forms of bullying. Relational aggression is often just as damaging to a girl's self-concept and interferes with her academic and physical development.
Stand UP teaches girls how to identify relational aggression, how it affects their lives, and how to constructively resolve conflict. Cyber bullying and text-based bullying is also addressed.",Either/Flexible,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
Girls Inc. Operation SMART,Active,"Girls Inc. Operation SMART develops girls? enthusiasm for and skills in science, technology, engineering, and mathematics (STEM). Through hands-on activities, girls explore, ask questions, persist, and solve problems. By interacting with women and men pursuing STEM careers, girls come to view these careers as exciting and realistic options for themselves. Girls Inc. Operation SMART is an approach that each organization can apply to its own programming. Girls Inc. organizations may also implement one or more of the following components that have been built around the SMART philosophy.

Eureka!: Beginning with rising 8th graders, this multi-year effort combines sports and personal development activities with an intensive experience on a college campus for four weeks, follows up with educational and experiential opportunities during the school year, and looks to provide paid internships focused on math, science, and technology for the participants.
Girls Dig It: Girls ages 12 to 14 build their analytical and interpretive skills while they work alongside archeologists, making exciting discoveries that unveil the past and present of their communities and their culture.
Thinking SMART: This program links girls ages 12 to 14 with professionals (particularly women) in the STEM fields. These ""SMART Partners"" help plan and deliver the program, encouraging girls to think like scientists by thinking with scientists.",,,,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
Girls Get the Message,Active,"Girls Get the Message (for girls ages 15 to 18) involves girls not only in analyzing messages, but also in changing the messages. Girls create and edit storyboards for music videos and reality TV programs, conduct audits of magazines for advertising content and of newspapers for equity in gender coverage, consider the biases in various news sources, develop political campaign slogans and materials, screen films made by and about women, develop character sketches for TV shows and treatments for documentaries, and plan and conduct field trips to explore media businesses.",,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
Discovery,Active,"Discovery (for girls ages 9 to 11) engages girls in partnership with both formal and informal women leaders in their community to celebrate their heritage as leaders, develop and practice leadership and advocacy skills, and construct community action projects. Girls get to make decisions and take responsibility for and initiate projects in collaboration with experienced women. Together, the girls and women discover their own leadership skills through hands-on activities, role plays, community exploration, and a weekend retreat, culminating in the identification of issues of ongoing concern to the community and formulation of responses that entail persuasive communication and organizing for action.",,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
Know Your Rights,Active,"Girls ages 12-14 explore attitudes and expectations about body image, careers, and stereotypes while increasing their understanding of their rights as girls.",,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
She?s on the Money!,Active,"She?s on the Money! (for girls ages 6 to 8) uses games, role plays, art projects and field trips to build girls? skills for identifying and counting money and to increase their understanding of basic concepts and topics such as using banks, saving for the future, planning for a career, differentiating between wants and needs, donating and volunteering, comparison shopping, taxes and government services, and global economics.",,,,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
Growing Together,Active,"Growing Together (for girls ages 9 to 11 and a parent/adult; available in Spanish as Crecer juntas): Five interactive sessions jump-start crucial two-way conversations between girls and a trusted adult about sexuality issues, opening doors to future communication. Key topics include the role of parents as primary sexuality educators; changes during puberty; anatomy, physiology, and hygiene; adolescent sexual development and feelings; and values and expectations for teen sexual behavior.",,,,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
Will Power/Won?t Power,Active,"Will Power/Won?t Power (for girls ages 12 to 14 and available in Spanish as Querer/Poder decir ""no"" ): In this 10-session program, girls build skills and strategies for dealing with sexual situations as they enter the most pressure-sensitive adolescent years, while also receiving medically accurate information. Interactive sessions center on values, relationships, female health and hygiene, separating sexual myths from reality, assertiveness and communication skills, identifying and resisting sexual pressures from the media and peers, sexual decision-making, avoiding risky situations, the benefits of abstinence, and the power of a positive sister support system.",,,,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
Friendly PEERsuasion,Active,"Girls Inc. Friendly PEERsuasion develops girls? skills to resist pressure to use harmful substances, such as drugs, alcohol, tobacco, and household chemicals. After learning healthy ways to manage stress and to deflect peer, media, and other pressures that contribute to substance use, girls become peer educators (PEERsuaders) for younger girls.

Friendly PEERsuasion, for girls ages 11 to 14, targets the years during which girls begin to more fully experience and respond to influence and pressure from their peers. Friendly PEERsuasion builds participants? knowledge and skills for resisting negative peer pressure by empowering them to use a process of identifying specifically what they are being pressured to do and the consequences. Participants then determine healthy alternatives and invite peers to join them in acting on their smarter choice. This process is fortified by enhancing girls? communication skills and ability to recognize stress and by providing them with practice in responding to stress in healthy ways. Additionally, participants learn about various legal and illicit substances, adopt guidelines for responsible use of readily available prescription and over-the-counter medications and supplements, and analyze media messages that glamorize substance use.

Participants also build leadership skills that help them plan and implement substance use prevention activities with groups of younger children ages 6 to 10 (referred to as PEERsuade-Mes). By serving as peer educators and mentors, the older participants are able to reinforce their commitment to avoiding substance use. Friendly PEERsuasion is also available in Spanish (Persuasión positiva).",,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
Growing Up! Body Basics,Active,"Growing Up! Body Basics is a 3-hour workshop for girls ages 7 to 8, some of whom may already be experiencing signs of puberty. In this workshop, girls usually thought of as too young for these topics receive accurate, age-appropriate information on why and how their bodies are changing?with an emphasis on the fact that the changes are normal and okay, even if earlier than such changes among their peers.",,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
Media Smarts,Active,"Media Smarts (for girls ages 9 to 11) further builds girls? analytical and creative skills. Girls investigate the useof slogans, logos, merchandising, and target marketing in media; consider the realness of reality TV; find ways to overcome bias in the news; practice creating strong, smart, and bold characters, TV show treatments, and media campaigns; and tackle issues of concern such as beauty, diversity, and stereotypes in media.",,,,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
Be BOLD,Active,Be BOLD (for girls ages 6 to 8) builds girls? skills and personal power for avoiding or dealing with hurtful or dangerous situations and assists them in identifying resources that contribute to their safety. Parents have a key role in supporting girls throughout the program.,,,,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
Futures and Options,Active,"Futures and Options (for girls ages 15 to 18) prepares girls for entering the world of work by helping them examine topics such as attitudes and values about money, career strategies, economic justice and workers? rights, paycheck deductions, responsible use of credit and avoiding predatory lenders, renting vs. buying, and investing.",,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1111 North Loop West, Suite 180",Houston,TX,77008,Girls Inc
Girls With Purpose Mentoring Program,Active,"Mentorship, character development, college prep, etc.",70-90 minutes (Block Schedule),Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",16903 Red Oak Dr.,Houston,,77090,Girls With Purpose
Girls With Purpose,Active,"The mission of Girls with Purpose is to assist young girls ages 7-17 with finding their value, worth, and purpose in life. Additionally, we focus on building relationships with their families, peers, and community.

Objectives
?	Encourage young girls to use effective communication through verbal sharing and creative activities in a group setting
?	Teach young girls how to develop and maintain a healthy and productive relationship with their peers, their family, and community.
?	Empower young girls to thrive spiritually, socially, and academically through curriculum centered around academic support, service learning, and team building.
?	Bridge the achievement gap, foster high self-esteem, and develop leadership skills in every girl.",Other (Please specify in Description),Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",16903 Red Oak Dr.,Houston,,77090,Girls With Purpose
Justice of the Peace Court Program,Active,"A consortium of three county agencies that diverts at risk youth from involvement with Department of Family and Protective Services, mental health and or juvenile justice systems",Either/Flexible,Referral out - Deliver services off-site,Off School Campus,"Legal safety/crisis support (Juvenile justice support, homelessness, child abuse, substance abuse, and domestic violence prevention and support, excluding immigration support)",6300 Chimney Rock,Houston,,77081,Harris County-TRIAD JP Court Program
Heritage Keepers Abstinence Education,Active,"The Heritage Method is a systemic approach that through the use of our programs is designed to saturate whole communities with effective resources to help young people develop good character, abstain from risky behaviors, and prepare for marriage and family life.  This method, which is character -based systemic approach to risk avoidance, has been developed on a foundation of scientific theory and methodology. 
 
In directly this program, increase youth?s knowledge and behavior in ways that will reduce their risk of becoming infected with HIV or STDs while significantly decreasing their chances of experiencing unintended pregnancies. To advocate youth postponing sexual activities and making healthy choices.  To promote and help youth develop leadership, empowerment, goal setting, and healthy decision making skills. This program is funded through the Department of Health and Human Services and is administered to youth and teens for free.",Either/Flexible,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Health (Medical, Dental, Vision, Nutrition)",10800 Scott Street,Houston,,77047,"Healing The Family, Inc"
Youth Advisory Council,Active,"The program equips the Teen Community Health Workers (Students) with employable skills such as navigating the healthcare system, cultural competency, and locating community resources. Throughout the program, youth learn about traditional health topics and less traditional topics including juvenile delinquency, motor vehicle safety, and the social determinants of health. Teens involved in the program are expected to relay the information they learn within their homes, schools, and communities. At the end of the program, youth will have 35 hours toward a Community Health Worker certification.

Meetings take place twice a month at the 5th Ward Multiservice Center for Kashmere High School students.",,Referral out - Deliver services off-site,Off School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",8000 N. Stadium Drive,Houston,TX,77054,Health and Human Services - MBK & Adolescent Health
Physicals,Active,"Will provide physicals for athletes. Need to coordinate a time with Dixie Sasu to do this, Donua. 

Sasu, Dixie - HHD <Dixie.Sasu@houstontx.gov>",,Pull out - Deliver services by pulling out students from class,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",8000 N. Stadium Drive,Houston,TX,77054,Health and Human Services - MBK & Adolescent Health
Counseling,Active,Provide counseling with 10-12 students per caseload. Need to be sure students have Medicaid and specific types of Medicaid that HEMYS will work out with you. They specifically asked for differentiating between them accepting a certain type of Medicaid while other providers had other types they accepted. Need to clarify this in the beginning of the year.,,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",5444 Westheimer Rd. Suite 1000,Houston,TX,77056,HEMYS
Counseling and Student Support,Active,"The Counseling and Student Support Department promotes, supports and advocates for the academic success and social-emotional wellbeing of all HISD students.",Either/Flexible,,On School Campus,Teacher Support & Professional Development,4400 W 18th Street,Houston,,77092,HISD Counseling and Student Support
Individual Student Crisis,Active,"The call for services should be routed through the school principal, counselor, social worker, or nurse, who will contact the Crisis Intervention ? secretary by phone with essential information at 713-923-8597.  After hours, contact can be made through Dr. Lauren Goonan, Manager. Please follow instructions on the voice message for after hours services. 
The psychologist assigned to the school will be provided the referral information.  The benefit of this contact is that the secretarial staff is trained to screen for basic information about the nature of the crisis and essential contact information, and to make a record of the contact.  Other team members and post doctoral fellows are available in the event the assigned psychologist is off duty, attending to another crisis, or providing targeted in-service training.",Either/Flexible,Referral out - Deliver services off-site,On School Campus,"Legal safety/crisis support (Juvenile justice support, homelessness, child abuse, substance abuse, and domestic violence prevention and support, excluding immigration support)",1102 Telephone Road,Houston,,77023,HISD Crisis Intervention
Medicaid/Chip application assistance,Active,"Providing assistance to parents to ensure a child has access to health insurance. We focus on Medicaid/Chip, but can also complete applications for Harris Health and ACA when needed.",Either/Flexible,Referral out - Deliver services off-site,On School Campus,"Health (Medical, Dental, Vision, Nutrition)",4400 West 18th st,Houston,,77092,HISD-Health and Medical Services
Free Resources for Students,Active,"Students who coded as homeless can be given resources like METRO Cards, snacks, uniforms, clothing, hygiene products, etc.",Either/Flexible,Referral out - Deliver services off-site,Off School Campus,"Home and family (Food, clothing, parent engagement, foster care, transportation and housing support)","5001 Martin Luther King, Jr. Blvd",Houston,Texas,77021,HISD Homeless and Foster Care Department
Transportation Services,Active,"Called Carl Green and explain the homeless student situation, they verify the homeless status, send a car or bus to the location and will provide transportation daily for this student.",Other (Please specify in Description),Referral out - Deliver services off-site,Off School Campus,"Home and family (Food, clothing, parent engagement, foster care, transportation and housing support)","5001 Martin Luther King, Jr. Blvd",Houston,Texas,77021,HISD Homeless and Foster Care Department
English as a Second Language,Active,Designed for students to be instructed in English either through all content areas or at least one subject area (Ex.: English/Language Arts). ELLs in secondary ESL Programs receive instruction in English using ESL instructional strategies making all content comprehensible.,Either/Flexible,,On School Campus,"Cultural and spiritual (Art access, Cultural awareness and enrichment)",,,,,HISD Multilingual Department
Immigrant/Newcomer Program,Active,"Address the needs and concerns of students during their first year of education in the United States. Furthermore, we aim to assist the families and teachers of these students with the goal of ensuring that these Immigrant students become proficient in the English language, acclimate to the American culture without losing their identity and contribute positively to society as a whole.",Either/Flexible,Referral out - Deliver services off-site,On School Campus,"Cultural and spiritual (Art access, Cultural awareness and enrichment)",,,,,HISD Multilingual Department
HISD SEL Counseling,Active,"Staff member from HISD will come in for ad hoc counseling when you call. Person will come to do pull outs for the student and work with them one on one for any mental health, trauma issues. 

Person to contact - Lauren Goonan
Areas of Interest: Suicide Prevention, grief and trauma, behavior modification, slow learners, and intervention assistance teams (IAT)
Primary Responsibilities: Director of Internship Training, Crisis intervention, behavioral and psychological consultation, counseling, and assessment
Email: lgoonan@houstonisd.org",Either/Flexible,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",4400 W 18th St.,Houston,,77092,HISD SEL Department
Sanford Harmony Curriculum,Active,Social Emotional Learning curriculum delivered to students through Specialists after they are trained on the SEL components from HISD.,,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",4400 W 18th St.,Houston,,77092,HISD SEL Department
Dance to Learn,Active,"Dance to Learn is an arts integration program that approaches academic curriculum from a kinesthetic perspective. Houston Ballet staff works together with classroom teachers to create programs that address TEKS in multiple subject areas.

This will be on McGowen's campus for the 2017-2018 school year for sure. Working on getting this on all campuses. We can apply, but not everyone will get it.

There are 2 types of programs:

The Dance to Learn ?Residency? is an in-depth creative experience that integrates dance and academic concepts. This is for one (1) group of students and includes 5-6 one (1) hour lessons. Possible residency schedules are:
2 times a week for 3 weeks
3 times a week for 2 weeks
Monday - Friday for 1 week
Once a week for 6 weeks

The Dance to Learn ?Stand Alone Lesson? is a one-time lesson for multiple groups of students on the same grade level. Movement integration activities will surround 1-2 learning objectives.
Locations wishing to book ECE's programs will need to complete an Indemnification Form with their principal's, or authoritative power's, signature prior to submitting a request. Each location needs only to complete 1 form per school year which will cover all of ECE's programs.

For more information, please contact Sue Ellen Hill, Education & Community Engagement Coordinator at Shill@houstonballet.org.",,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",601 Preston,Houston,,77002,Houston Ballet
Houston Ballet - 2016-2017,Active,,,,,"Education and vocational (Vocational training, employment services, college and career readiness)",601 Preston,Houston,,77002,Houston Ballet
Ballet Talks,Active,"Teaching Artists from Houston Ballet interact with students in a lecture-like setting for a one hour, story telling experience which introduces the art of dance. Use video and theatrics to deliver",,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",601 Preston,Houston,,77002,Houston Ballet
